dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
piecewise,1500,0.0167,δ/3,9199,6000.0000,5460.0000,4500.0000,6000.0000,1.0000,1.5332,0.0000
piecewise,1500,0.0250,δ/2,9199,4500.0000,4020.0000,3000.0000,4500.0000,1.0000,2.0442,0.0000
piecewise,1500,0.0500,δ,9199,3000.0000,3000.0000,3000.0000,3000.0000,1.0000,3.0663,0.0000
piecewise,2000,0.0083,δ/6,9199,10000.0000,10480.0000,10000.0000,12000.0000,1.0000,0.9199,0.0000
piecewise,2000,0.0100,δ/5,9199,10000.0000,9200.0000,8000.0000,10000.0000,1.0000,0.9199,0.0000
piecewise,2000,0.0125,δ/4,9199,8000.0000,7860.0000,8000.0000,8000.0000,1.0000,1.1499,0.0000
piecewise,2000,0.0167,δ/3,9199,6000.0000,6440.0000,6000.0000,6000.0000,1.0000,1.5332,0.0000
piecewise,2000,0.0250,δ/2,9199,4000.0000,4940.0000,4000.0000,6000.0000,1.0000,2.2997,0.0000
piecewise,2000,0.0500,δ,9199,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,2.2997,0.0000
zipf,100,0.0083,δ/6,9199,1400.0000,1378.0000,1300.0000,1500.0000,0.9500,6.5707,0.0000
zipf,100,0.0100,δ/5,9199,1200.0000,1203.0000,1100.0000,1300.0000,0.9300,7.6658,0.0000
zipf,100,0.0125,δ/4,9199,1000.0000,1003.0000,900.0000,1100.0000,0.8300,9.1990,0.0000
zipf,100,0.0167,δ/3,9199,800.0000,786.0000,700.0000,800.0000,0.6700,11.4987,0.0000
zipf,100,0.0250,δ/2,9199,600.0000,592.0000,500.0000,700.0000,0.4600,15.3317,0.0000
zipf,100,0.0500,δ,9199,400.0000,357.0000,300.0000,400.0000,0.1200,22.9975,0.0000
zipf,200,0.0083,δ/6,9199,2200.0000,2104.0000,2000.0000,2200.0000,1.0000,4.1814,0.0000
zipf,200,0.0100,δ/5,9199,1800.0000,1838.0000,1600.0000,2000.0000,1.0000,5.1106,0.0000
zipf,200,0.0125,δ/4,9199,1500.0000,1506.0000,1400.0000,1600.0000,0.9700,6.1327,0.0000
zipf,200,0.0167,δ/3,9199,1200.0000,1236.0000,1200.0000,1400.0000,0.9500,7.6658,0.0000
zipf,200,0.0250,δ/2,9199,800.0000,888.0000,800.0000,1000.0000,0.7600,11.4987,0.0000
zipf,200,0.0500,δ,9199,600.0000,564.0000,600.0000,600.0000,0.4000,15.3317,0.0000
zipf,300,0.0083,δ/6,9199,2700.0000,2688.0000,2400.0000,3000.0000,1.0000,3.4070,0.0000
zipf,300,0.0100,δ/5,9199,2400.0000,2337.0000,2100.0000,2700.0000,1.0000,3.8329,0.0000
zipf,300,0.0125,δ/4,9199,1800.0000,1932.0000,1800.0000,2100.0000,1.0000,5.1106,0.0000
zipf,300,0.0167,δ/3,9199,1500.0000,1551.0000,1500.0000,1800.0000,0.9900,6.1327,0.0000
zipf,300,0.0250,δ/2,9199,1200.0000,1158.0000,1200.0000,1200.0000,0.8700,7.6658,0.0000
zipf,300,0.0500,δ,9199,600.0000,741.0000,600.0000,900.0000,0.6200,15.3317,0.0000
zipf,500,0.0083,δ/6,9199,3500.0000,3625.0000,3000.0000,4000.0000,1.0000,2.6283,0.0000
zipf,500,0.0100,δ/5,9199,3000.0000,3115.0000,3000.0000,3500.0000,1.0000,3.0663,0.0000
zipf,500,0.0125,δ/4,9199,2500.0000,2675.0000,2500.0000,3000.0000,1.0000,3.6796,0.0000
zipf,500,0.0167,δ/3,9199,2000.0000,2155.0000,2000.0000,2500.0000,1.0000,4.5995,0.0000
zipf,500,0.0250,δ/2,9199,1500.0000,1630.0000,1500.0000,2000.0000,0.9900,6.1327,0.0000
zipf,500,0.0500,δ,9199,1000.0000,1055.0000,1000.0000,1000.0000,0.8700,9.1990,0.0000
zipf,750,0.0083,δ/6,9199,4500.0000,4807.5000,4500.0000,5250.0000,1.0000,2.0442,0.0000
zipf,750,0.0100,δ/5,9199,4500.0000,4162.5000,3750.0000,4500.0000,1.0000,2.0442,0.0000
zipf,750,0.0125,δ/4,9199,3750.0000,3480.0000,3000.0000,3750.0000,1.0000,2.4531,0.0000
zipf,750,0.0167,δ/3,9199,3000.0000,2797.5000,2250.0000,3000.0000,1.0000,3.0663,0.0000
zipf,750,0.0250,δ/2,9199,2250.0000,2212.5000,2250.0000,2250.0000,1.0000,4.0884,0.0000
zipf,750,0.0500,δ,9199,1500.0000,1515.0000,1500.0000,1500.0000,0.9900,6.1327,0.0000
zipf,1000,0.0083,δ/6,9199,6000.0000,5660.0000,5000.0000,6000.0000,1.0000,1.5332,0.0000
zipf,1000,0.0100,δ/5,9199,5000.0000,4970.0000,5000.0000,5000.0000,1.0000,1.8398,0.0000
zipf,1000,0.0125,δ/4,9199,4000.0000,4250.0000,4000.0000,5000.0000,1.0000,2.2997,0.0000
zipf,1000,0.0167,δ/3,9199,3000.0000,3450.0000,3000.0000,4000.0000,1.0000,3.0663,0.0000
zipf,1000,0.0250,δ/2,9199,3000.0000,2710.0000,2000.0000,3000.0000,1.0000,3.0663,0.0000
zipf,1000,0.0500,δ,9199,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,4.5995,0.0000
zipf,1500,0.0083,δ/6,9199,7500.0000,7275.0000,6000.0000,7500.0000,1.0000,1.2265,0.0000
zipf,1500,0.0100,δ/5,9199,6000.0000,6315.0000,6000.0000,7500.0000,1.0000,1.5332,0.0000
zipf,1500,0.0125,δ/4,9199,6000.0000,5430.0000,4500.0000,6000.0000,1.0000,1.5332,0.0000
zipf,1500,0.0167,δ/3,9199,4500.0000,4710.0000,4500.0000,4500.0000,1.0000,2.0442,0.0000
zipf,1500,0.0250,δ/2,9199,3000.0000,3375.0000,3000.0000,3375.0000,1.0000,3.0663,0.0000
zipf,1500,0.0500,δ,9199,3000.0000,3000.0000,3000.0000,3000.0000,1.0000,3.0663,0.0000
zipf,2000,0.0083,δ/6,9199,8000.0000,8680.0000,8000.0000,10000.0000,1.0000,1.1499,0.0000
zipf,2000,0.0100,δ/5,9199,8000.0000,7700.0000,6000.0000,8000.0000,1.0000,1.1499,0.0000
zipf,2000,0.0125,δ/4,9199,6000.0000,6680.0000,6000.0000,8000.0000,1.0000,1.5332,0.0000
zipf,2000,0.0167,δ/3,9199,6000.0000,5660.0000,6000.0000,6000.0000,1.0000,1.5332,0.0000
zipf,2000,0.0250,δ/2,9199,4000.0000,4300.0000,4000.0000,4000.0000,1.0000,2.2997,0.0000
zipf,2000,0.0500,δ,9199,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,2.2997,0.0000
