dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
normal,1500,0.0100,δ/5,179744,4500.0000,5205.0000,4500.0000,6000.0000,1.0000,39.9431,0.0000
normal,1500,0.0125,δ/4,179744,4500.0000,4410.0000,4500.0000,4500.0000,1.0000,39.9431,0.0000
normal,1500,0.0167,δ/3,179744,3000.0000,3675.0000,3000.0000,4500.0000,1.0000,59.9147,0.0000
normal,1500,0.0250,δ/2,179744,3000.0000,3030.0000,3000.0000,3000.0000,1.0000,59.9147,0.0000
normal,1500,0.0500,δ,179744,3000.0000,3000.0000,3000.0000,3000.0000,1.0000,59.9147,0.0000
normal,2000,0.0083,δ/6,179744,8000.0000,7360.0000,6000.0000,8000.0000,1.0000,22.4680,0.0000
normal,2000,0.0100,δ/5,179744,6000.0000,6580.0000,6000.0000,8000.0000,1.0000,29.9573,0.0000
normal,2000,0.0125,δ/4,179744,6000.0000,5520.0000,4000.0000,6000.0000,1.0000,29.9573,0.0000
normal,2000,0.0167,δ/3,179744,4000.0000,4640.0000,4000.0000,6000.0000,1.0000,44.9360,0.0000
normal,2000,0.0250,δ/2,179744,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,44.9360,0.0000
normal,2000,0.0500,δ,179744,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,44.9360,0.0000
weibull,100,0.0083,δ/6,179744,900.0000,869.0000,700.0000,1000.0000,0.9700,199.7156,0.0000
weibull,100,0.0100,δ/5,179744,750.0000,749.0000,700.0000,800.0000,0.9600,239.6587,0.0000
weibull,100,0.0125,δ/4,179744,600.0000,637.0000,600.0000,700.0000,0.9100,299.5733,0.0000
weibull,100,0.0167,δ/3,179744,500.0000,501.0000,400.0000,600.0000,0.8000,359.4880,0.0000
weibull,100,0.0250,δ/2,179744,300.0000,355.0000,300.0000,400.0000,0.7000,599.1467,0.0000
weibull,100,0.0500,δ,179744,200.0000,230.0000,200.0000,300.0000,0.4900,898.7200,0.0000
weibull,200,0.0083,δ/6,179744,1400.0000,1392.0000,1200.0000,1600.0000,0.9900,128.3886,0.0000
weibull,200,0.0100,δ/5,179744,1200.0000,1236.0000,1000.0000,1400.0000,0.9800,149.7867,0.0000
weibull,200,0.0125,δ/4,179744,1000.0000,1026.0000,950.0000,1200.0000,0.9900,179.7440,0.0000
weibull,200,0.0167,δ/3,179744,800.0000,820.0000,800.0000,1000.0000,0.9600,224.6800,0.0000
weibull,200,0.0250,δ/2,179744,600.0000,620.0000,600.0000,800.0000,0.8900,299.5733,0.0000
weibull,200,0.0500,δ,179744,400.0000,408.0000,400.0000,400.0000,0.7800,449.3600,0.0000
weibull,300,0.0083,δ/6,179744,1800.0000,1848.0000,1500.0000,2100.0000,0.9900,99.8578,0.0000
weibull,300,0.0100,δ/5,179744,1500.0000,1584.0000,1500.0000,1800.0000,0.9900,119.8293,0.0000
weibull,300,0.0125,δ/4,179744,1350.0000,1344.0000,1200.0000,1500.0000,0.9900,133.1437,0.0000
weibull,300,0.0167,δ/3,179744,900.0000,1065.0000,900.0000,1200.0000,0.9900,199.7156,0.0000
weibull,300,0.0250,δ/2,179744,900.0000,813.0000,600.0000,900.0000,0.9600,199.7156,0.0000
weibull,300,0.0500,δ,179744,600.0000,615.0000,600.0000,600.0000,0.9400,299.5733,0.0000
weibull,500,0.0083,δ/6,179744,2500.0000,2715.0000,2500.0000,3000.0000,1.0000,71.8976,0.0000
weibull,500,0.0100,δ/5,179744,2500.0000,2305.0000,2000.0000,2500.0000,1.0000,71.8976,0.0000
weibull,500,0.0125,δ/4,179744,2000.0000,1960.0000,1500.0000,2125.0000,1.0000,89.8720,0.0000
weibull,500,0.0167,δ/3,179744,1500.0000,1595.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
weibull,500,0.0250,δ/2,179744,1000.0000,1200.0000,1000.0000,1500.0000,1.0000,179.7440,0.0000
weibull,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,1.0000,179.7440,0.0000
weibull,750,0.0083,δ/6,179744,3750.0000,3615.0000,3000.0000,3750.0000,1.0000,47.9317,0.0000
weibull,750,0.0100,δ/5,179744,3000.0000,3135.0000,3000.0000,3750.0000,1.0000,59.9147,0.0000
weibull,750,0.0125,δ/4,179744,3000.0000,2662.5000,2250.0000,3000.0000,1.0000,59.9147,0.0000
weibull,750,0.0167,δ/3,179744,2250.0000,2137.5000,1500.0000,2250.0000,1.0000,79.8862,0.0000
weibull,750,0.0250,δ/2,179744,1500.0000,1672.5000,1500.0000,1500.0000,1.0000,119.8293,0.0000
weibull,750,0.0500,δ,179744,1500.0000,1500.0000,1500.0000,1500.0000,1.0000,119.8293,0.0000
weibull,1000,0.0083,δ/6,179744,4000.0000,4260.0000,4000.0000,5000.0000,1.0000,44.9360,0.0000
weibull,1000,0.0100,δ/5,179744,4000.0000,3670.0000,3000.0000,4000.0000,1.0000,44.9360,0.0000
weibull,1000,0.0125,δ/4,179744,3000.0000,3230.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
weibull,1000,0.0167,δ/3,179744,3000.0000,2720.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
weibull,1000,0.0250,δ/2,179744,2000.0000,2130.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
weibull,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
weibull,1500,0.0083,δ/6,179744,6000.0000,5670.0000,4500.0000,6000.0000,1.0000,29.9573,0.0000
weibull,1500,0.0100,δ/5,179744,4500.0000,4950.0000,4500.0000,6000.0000,1.0000,39.9431,0.0000
weibull,1500,0.0125,δ/4,179744,4500.0000,4365.0000,4500.0000,4500.0000,1.0000,39.9431,0.0000
weibull,1500,0.0167,δ/3,179744,3000.0000,3510.0000,3000.0000,4500.0000,1.0000,59.9147,0.0000
weibull,1500,0.0250,δ/2,179744,3000.0000,3030.0000,3000.0000,3000.0000,1.0000,59.9147,0.0000
weibull,1500,0.0500,δ,179744,3000.0000,3000.0000,3000.0000,3000.0000,1.0000,59.9147,0.0000
weibull,2000,0.0083,δ/6,179744,6000.0000,7100.0000,6000.0000,8000.0000,1.0000,29.9573,0.0000
weibull,2000,0.0100,δ/5,179744,6000.0000,6180.0000,6000.0000,6000.0000,1.0000,29.9573,0.0000
weibull,2000,0.0125,δ/4,179744,6000.0000,5180.0000,4000.0000,6000.0000,1.0000,29.9573,0.0000
weibull,2000,0.0167,δ/3,179744,4000.0000,4500.0000,4000.0000,4500.0000,1.0000,44.9360,0.0000
weibull,2000,0.0250,δ/2,179744,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,44.9360,0.0000
weibull,2000,0.0500,δ,179744,4000.0000,4000.0000,4000.0000,4000.0000,1.0000,44.9360,0.0000
